,A,B,R_val,R_z_score,R_p_val
201,B_memory,Macro_int,0.49031736373942864,132.81211193478788,0.0
2583,Macro_alv,NK_CD16hi,0.49021354772026693,132.78399132194158,0.0
2442,Macro_CHIT1,NKT,0.4899301116299986,132.70721707625714,0.0
641,CD4_EM_Effector,Macro_dividing,0.4898476779208117,132.68488828306852,0.0
2380,MAIT,Macro_CHIT1,0.48972085459580916,132.65053568843936,0.0
910,CD8_EM_EMRA,Macro_CHIT1,0.4896932390150133,132.64305546465158,0.0
171,B_memory,DC_1,0.48959916335243947,132.61757321916713,0.0
711,CD4_TRM,Macro_dividing,0.48948505435011036,132.58666454916914,0.0
2495,Macro_AW_CX3CR1,Macro_alv,0.48911387360779224,132.48612293685335,0.0
2004,Erythrocyte,Macrophage_intermediate,0.4890656223572044,132.4730531356022,0.0
2426,Macro_CHIT1,Mast_cell,0.4889214368413411,132.43399764973043,0.0
2616,Macro_dividing,NK_CD16hi,0.48868167951609837,132.36905465755393,0.0
976,CD8_TRM_EM,Macro_CHIT1,0.48856796136806646,132.33825185813797,0.0
2584,Macro_alv,NKT,0.4885250166879505,132.32661944598135,0.0
2636,Macro_int,Macrophage_intermediate,0.48807173479660576,132.2038391209442,0.0
914,CD8_EM_EMRA,Macro_alv,0.48790162212912197,132.15776075557065,0.0
2005,Erythrocyte,Monocyte_CD14,0.48775770125443346,132.11877695297164,0.0
2421,Macro_CHIT1,Macro_alveolar_metallothioneins,0.4875457110666963,132.0613552367018,0.0
2530,Macro_alveolar_metallothioneins,Macro_alv,0.48751292667482077,132.05247493866324,0.0
2466,Macro_interstitial,Macrophage_intermediate,0.4874845984249096,132.04480167441366,0.0
196,B_memory,Macro_interstitial,0.48748304220974326,132.04438014289522,0.0
2384,MAIT,Macro_alv,0.4874089604178088,132.02431363093714,0.0
2617,Macro_dividing,NKT,0.48726538484776016,131.9854233608986,0.0
781,CD4_naive_CM,Macro_int,0.48706637332670016,131.9315171720381,0.0
1241,DC_1,Macrophage_intermediate,0.4869197784276706,131.89180905729685,0.0
2301,ILC,Macro_CHIT1,0.48680732357298095,131.8613484457559,0.0
765,CD4_naive_CM,Erythrocyte,0.48650694778471254,131.77998574933872,0.0
2443,Macro_CHIT1,NK_CD11d,0.48644598317372734,131.7634722841078,0.0
2030,Erythrocyte,T_reg,0.4863663236006846,131.7418949203144,0.0
915,CD8_EM_EMRA,Macro_dividing,0.4862891971016447,131.7210036894889,0.0
2385,MAIT,Macro_dividing,0.4861434874812233,131.68153536988916,0.0
980,CD8_TRM_EM,Macro_alv,0.4858503784107432,131.6021410070609,0.0
1292,DC_2,Macro_interstitial,0.4858243659930247,131.5950950315577,0.0
2467,Macro_interstitial,Monocyte_CD14,0.4856791111596217,131.55574989997623,0.0
1281,DC_2,Erythrocyte,0.4855862274188006,131.53059050996654,0.0
1297,DC_2,Macro_int,0.4855390306173543,131.51780632702665,0.0
751,CD4_naive_CM,DC_1,0.48539389213776907,131.47849271216768,0.0
2000,Erythrocyte,Macro_CCL,0.4852469661763635,131.43869492266353,0.0
2456,Macro_CHIT1,gdT,0.48513406939410536,131.40811460633944,0.0
2637,Macro_int,Monocyte_CD14,0.48509211459194634,131.39675032211738,0.0
1341,DC_activated,Erythrocyte,0.48504874648058277,131.38500321527033,0.0
2496,Macro_AW_CX3CR1,Macro_dividing,0.4846422286398506,131.27488985408922,0.0
2431,Macro_CHIT1,Monocyte_CD16,0.4845244643700479,131.24299108292666,0.0
2601,Macro_dividing,Mast_cell,0.48439185973488663,131.20707250661152,0.0
2585,Macro_alv,NK_CD11d,0.48432645318643214,131.18935585515877,0.0
2662,Macro_int,T_reg,0.48414420503226463,131.13999035427867,0.0
981,CD8_TRM_EM,Macro_dividing,0.48414053771148163,131.13899698823792,0.0
2305,ILC,Macro_alv,0.4841369749961714,131.13803195664906,0.0
1267,DC_1,T_reg,0.4841309994851502,131.13641337183583,0.0
1209,DC_1,DC_plasmacytoid,0.4834841686493606,130.96120650436822,0.0
2492,Macro_interstitial,T_reg,0.4834139246607602,130.94217953700652,0.0
2632,Macro_int,Macro_CCL,0.48339336996242943,130.93661189225767,0.0
1208,DC_1,DC_activated,0.48318028026039134,130.87889235089082,0.0
2598,Macro_alv,gdT,0.4830786251228365,130.85135705537385,0.0
261,B_naive,Erythrocyte,0.483063394893206,130.8472316478071,0.0
247,B_naive,DC_1,0.48300869091102044,130.83241399715345,0.0
2444,Macro_CHIT1,NK_CD56bright,0.48293398689313816,130.81217894304626,0.0
164,B_memory,CD4_naive_CM,0.4829031092104841,130.80381511474195,0.0
2531,Macro_alveolar_metallothioneins,Macro_dividing,0.4828340929667218,130.785120706243,0.0
2306,ILC,Macro_dividing,0.4825146738260285,130.69859974287277,0.0
2462,Macro_interstitial,Macro_CCL,0.4825002298131617,130.6946872975965,0.0
206,B_memory,Macrophage_intermediate,0.4823489225835211,130.65370275532715,0.0
1357,DC_activated,Macro_int,0.4821898075572475,130.61060331761033,0.0
1242,DC_1,Monocyte_CD14,0.4820831586073371,130.58171534969256,0.0
2631,Macro_dividing,gdT,0.4819773844119265,130.55306432625432,0.0
1400,DC_plasmacytoid,Erythrocyte,0.4819242275365885,130.53866573995165,0.0
2618,Macro_dividing,NK_CD11d,0.48186106074172413,130.5215557698578,0.0
626,CD4_EM_Effector,Erythrocyte,0.48171888012574665,130.48304335059498,0.0
2573,Macro_alv,Monocyte_CD16,0.4816693654027917,130.46963131297642,0.0
2586,Macro_alv,NK_CD56bright,0.48160283683306115,130.4516107399693,0.0
843,CD8_EM,Macro_CHIT1,0.48156667257200303,130.44181493781568,0.0
1237,DC_1,Macro_CCL,0.48149962894766435,130.42365485212693,0.0
696,CD4_TRM,Erythrocyte,0.4813990138395094,130.39640126905027,0.0
2017,Erythrocyte,NKT,0.4811805048997859,130.3372138204558,0.0
2016,Erythrocyte,NK_CD16hi,0.48103114597464713,130.29675701482137,0.0
1352,DC_activated,Macro_interstitial,0.4808811147730532,130.25611810987246,0.0
277,B_naive,Macro_int,0.4808394735035654,130.24483875214761,0.0
1017,CD8_TRM,DC_1,0.48077240479382716,130.2266718715845,0.0
776,CD4_naive_CM,Macro_interstitial,0.48075974098300295,130.22324162908222,0.0
1299,DC_2,Mast_cell,0.4805503736794351,130.16653037263217,0.0
272,B_naive,Macro_interstitial,0.48000011875585114,130.01748299248973,0.0
2478,Macro_interstitial,NK_CD16hi,0.47996337960130764,130.00753146911637,0.0
2606,Macro_dividing,Monocyte_CD16,0.4799567709579529,130.0057413879447,0.0
207,B_memory,Monocyte_CD14,0.47983010225095024,129.97143067464512,0.0
232,B_memory,T_reg,0.4798216115758777,129.96913080812698,0.0
1238,DC_1,Mast_cell,0.47965537946842784,129.9241035688438,0.0
1416,DC_plasmacytoid,Macro_int,0.47955750616265264,129.89759265692564,0.0
1270,DC_2,DC_plasmacytoid,0.4795110375927153,129.88500572982826,0.0
172,B_memory,DC_2,0.4793773251110756,129.8487870714818,0.0
900,CD8_EM_EMRA,Erythrocyte,0.47930404630234147,129.82893806333365,0.0
1031,CD8_TRM,Erythrocyte,0.47926453254024004,129.81823498287338,0.0
612,CD4_EM_Effector,DC_1,0.4791083077657405,129.77591842675636,0.0
1992,Erythrocyte,MAIT,0.47910536255482583,129.77512065839122,0.0
712,CD4_TRM,Macro_int,0.47900271946374195,129.74731775620887,0.0
682,CD4_TRM,DC_1,0.4789988746791335,129.74627632059685,0.0
1411,DC_plasmacytoid,Macro_interstitial,0.47897235550416933,129.73909307991596,0.0
847,CD8_EM,Macro_alv,0.47880546575645877,129.69388770581978,0.0
2649,Macro_int,NKT,0.47877455118519274,129.68551388550858,0.0
642,CD4_EM_Effector,Macro_int,0.47865144903203327,129.6521692435401,0.0
1018,CD8_TRM,DC_2,0.47852736432403753,129.61855845724847,0.0
2782,Macrophage_intermediate,Monocyte_CD14,0.4785002870759165,129.611224051465,0.0
1042,CD8_TRM,Macro_interstitial,0.4784177305079274,129.5888619795508,0.0
2619,Macro_dividing,NK_CD56bright,0.47840906038551656,129.58651350618788,0.0
707,CD4_TRM,Macro_interstitial,0.4783449091964374,129.569136893539,0.0
1302,DC_2,Macrophage_intermediate,0.4777363882203869,129.40430700587294,0.0
2648,Macro_int,NK_CD16hi,0.4777076438859364,129.39652103693354,0.0
786,CD4_naive_CM,Macrophage_intermediate,0.47758944671242737,129.36450500527857,0.0
248,B_naive,DC_2,0.4775171006407994,129.34490864734047,0.0
848,CD8_EM,Macro_dividing,0.477411385631383,129.31627365559407,0.0
202,B_memory,Macro_CCL,0.4774013946630446,129.31356740510526,0.0
637,CD4_EM_Effector,Macro_interstitial,0.4772361522325371,129.2688082393079,0.0
173,B_memory,DC_activated,0.47718104521210924,129.25388141781082,0.0
1047,CD8_TRM,Macro_int,0.47714074625651665,129.2429656522336,0.0
1253,DC_1,NK_CD16hi,0.4768650732361726,129.16829418688695,0.0
