,A,B,R_val,R_z_score,R_p_val
2600,Macro_dividing,Macro_CCL,0.3137361118763507,84.98160312073058,0.0
830,CD8_EM,Endothelia_vascular_arterial_systemic,0.313570406616565,84.93671858851046,0.0
1883,Endothelia_vascular_arterial_systemic,T_reg,0.31351285590943345,84.92112984635541,0.0
1089,Chondrocyte,Endothelia_vascular_Cap_a,0.31338302670828105,84.88596305098771,0.0
1862,Endothelia_vascular_arterial_systemic,Muscle_pericyte_parenchyma,0.31318343706072393,84.83190026518258,0.0
2460,Macro_interstitial,Macro_dividing,0.31315309039381956,84.82368027294935,0.0
1095,Chondrocyte,Erythrocyte,0.3129796209194582,84.77669265034011,0.0
1091,Chondrocyte,Endothelia_vascular_arterial_pulmonary,0.31291821460317765,84.7600595405331,0.0
2368,Ionocyte_n_Brush,Neuroendocrine,0.3126385900914865,84.6843177359533,0.0
1858,Endothelia_vascular_arterial_systemic,Monocyte_CD14,0.3125339334230524,84.65596941669986,0.0
1747,Endothelia_vascular_Cap_g,Macro_alv,0.3125291034625636,84.65466112680332,0.0
275,B_naive,Macro_alv,0.31207925161268174,84.53280989603122,0.0
2310,ILC,Megakaryocyte,0.3119879839385026,84.50808824949057,0.0
1106,Chondrocyte,Macro_interstitial,0.3118860130497624,84.48046742654813,0.0
121,AT2,Macro_alveolar_metallothioneins,0.31187098709504085,84.47639735086248,0.0
1294,DC_2,Macro_alveolar_metallothioneins,0.311697996092992,84.42953933189982,0.0
298,B_naive,Neuroendocrine,0.3116816170248213,84.42510273879472,0.0
124,AT2,Macro_int,0.311471615643351,84.36821972986031,0.0
963,CD8_TRM_EM,Endothelia_vascular_arterial_systemic,0.31137382506924544,84.34173122744379,0.0
2551,Macro_alveolar_metallothioneins,NK_CD11d,0.31127653481209216,84.31537824572465,0.0
408,B_plasma_IgG,Endothelia_vascular_venous_pulmonary,0.31126875843243396,84.31327186018338,0.0
2576,Macro_alv,Muscle_pericyte_parenchyma,0.3112315904735942,84.30320418672355,0.0
1234,DC_1,Macro_alv,0.3108925657952597,84.21137267746549,0.0
2518,Macro_AW_CX3CR1,Neuroendocrine,0.3104013762073874,84.07832430645091,0.0
2640,Macro_int,Muscle_pericyte_airway,0.3101157091668533,84.00094576396133,0.0
182,B_memory,Endothelia_vascular_arterial_systemic,0.310019668678185,83.97493130664328,0.0
1279,DC_2,Endothelia_vascular_venous_pulmonary,0.3098835675259025,83.93806562982219,0.0
693,CD4_TRM,Endothelia_vascular_arterial_systemic,0.3097668642518905,83.90645425025971,0.0
1084,Chondrocyte,DC_plasmacytoid,0.30970169814884413,83.88880272817993,0.0
2606,Macro_dividing,Monocyte_CD16,0.3094565901758554,83.82241040771137,0.0
48,AT1,Mast_cell,0.3092700264813132,83.77187595775116,0.0
1730,Endothelia_vascular_Cap_g,Endothelia_vascular_arterial_systemic,0.3092479176128015,83.76588733540842,0.0
2605,Macro_dividing,Monocyte_CD14,0.30914790659751507,83.73879738277931,0.0
1782,Endothelia_vascular_arterial_pulmonary,Endothelia_vascular_arterial_systemic,0.30888350936331355,83.66718018612077,0.0
2256,Fibro_peribronchial,gdT,0.3084181604880808,83.54113128090806,0.0
191,B_memory,Fibro_perichondrial,0.30828860709242895,83.50603919289057,0.0
2092,Fibro_alveolar,Macro_int,0.3080320052428826,83.43653352965093,0.0
1859,Endothelia_vascular_arterial_systemic,Monocyte_CD16,0.30800732535776176,83.42984849683829,0.0
1276,DC_2,Endothelia_vascular_Cap_g,0.30794584082837234,83.41319420147079,0.0
1116,Chondrocyte,Macrophage_intermediate,0.30786452898773964,83.39116928846879,0.0
1751,Endothelia_vascular_Cap_g,Mast_cell,0.3077937498066032,83.37199735367118,0.0
44,AT1,Macro_alv,0.3077070589243392,83.34851542133421,0.0
